Tempo: 5, Valor de Saída: x
Tempo: 15, Valor de Saída: 0
Tempo: 25, Valor de Saída: 0
Tempo: 35, Valor de Saída: 0
Tempo: 45, Valor de Saída: 0
Tempo: 55, Valor de Saída: 13604
Tempo: 65, Valor de Saída: 37797
Tempo: 75, Valor de Saída: 27054
Tempo: 85, Valor de Saída: 49169
Tempo: 95, Valor de Saída: 1530
Tempo: 105, Valor de Saída: 16646
Tempo: 115, Valor de Saída: 61282
Tempo: 125, Valor de Saída: 60177
Tempo: 135, Valor de Saída: 21253
Tempo: 145, Valor de Saída: 34437
Tempo: 155, Valor de Saída: 62358
Tempo: 165, Valor de Saída: 28353
Tempo: 175, Valor de Saída: 58285
Tempo: 185, Valor de Saída: 3628
Tempo: 195, Valor de Saída: 1711
Tempo: 205, Valor de Saída: 24120
Tempo: 215, Valor de Saída: 35600
Tempo: 225, Valor de Saída: 26158
Tempo: 235, Valor de Saída: 29722
Tempo: 245, Valor de Saída: 49611
Tempo: 255, Valor de Saída: 4888
Tempo: 265, Valor de Saída: 7165
Tempo: 275, Valor de Saída: 36362
Tempo: 285, Valor de Saída: 45665
Tempo: 295, Valor de Saída: 22327
Tempo: 305, Valor de Saída: 51821
Tempo: 315, Valor de Saída: 43479
Tempo: 325, Valor de Saída: 15302
Tempo: 335, Valor de Saída: 6411
Tempo: 345, Valor de Saída: 61611
Tempo: 355, Valor de Saída: 2482
Tempo: 365, Valor de Saída: 26623
Tempo: 375, Valor de Saída: 12882
Tempo: 385, Valor de Saída: 11533
Tempo: 395, Valor de Saída: 4180
Tempo: 405, Valor de Saída: 21991
Tempo: 415, Valor de Saída: 29181
Tempo: 425, Valor de Saída: 2288
Tempo: 435, Valor de Saída: 64339
Tempo: 445, Valor de Saída: 1289
Tempo: 455, Valor de Saída: 41950
Tempo: 465, Valor de Saída: 5792
Tempo: 475, Valor de Saída: 10389
Tempo: 485, Valor de Saída: 37104
Tempo: 495, Valor de Saída: 40098
Tempo: 505, Valor de Saída: 58524
Tempo: 515, Valor de Saída: 58301
Tempo: 525, Valor de Saída: 2585
Tempo: 535, Valor de Saída: 11206
Tempo: 545, Valor de Saída: 1331
Tempo: 555, Valor de Saída: 31234
Tempo: 565, Valor de Saída: 30338
Tempo: 575, Valor de Saída: 7929
Tempo: 585, Valor de Saída: 1941
Tempo: 595, Valor de Saída: 15643
Tempo: 605, Valor de Saída: 60954
Tempo: 615, Valor de Saída: 18628
Tempo: 625, Valor de Saída: 31138
Tempo: 635, Valor de Saída: 32752
Tempo: 645, Valor de Saída: 33045
Tempo: 655, Valor de Saída: 30182
Tempo: 665, Valor de Saída: 60762
Tempo: 675, Valor de Saída: 36255
Tempo: 685, Valor de Saída: 14434
Tempo: 695, Valor de Saída: 30507
Tempo: 705, Valor de Saída: 61264
Tempo: 715, Valor de Saída: 46464
Tempo: 725, Valor de Saída: 10825
Tempo: 735, Valor de Saída: 6978
Tempo: 745, Valor de Saída: 4360
Tempo: 755, Valor de Saída: 19646
Tempo: 765, Valor de Saída: 25949
Tempo: 775, Valor de Saída: 14913
Tempo: 785, Valor de Saída: 60024
Tempo: 795, Valor de Saída: 42022
Tempo: 805, Valor de Saída: 63964
Tempo: 815, Valor de Saída: 40050
Tempo: 825, Valor de Saída: 477
Tempo: 835, Valor de Saída: 733
Tempo: 845, Valor de Saída: 62890
Tempo: 855, Valor de Saída: 3085
Tempo: 865, Valor de Saída: 58079
Tempo: 875, Valor de Saída: 48777
Tempo: 885, Valor de Saída: 26877
Tempo: 895, Valor de Saída: 27001
Tempo: 905, Valor de Saída: 11841
Tempo: 915, Valor de Saída: 11150
Tempo: 925, Valor de Saída: 27594
Tempo: 935, Valor de Saída: 31157
Tempo: 945, Valor de Saída: 27436
Tempo: 955, Valor de Saída: 38413
Tempo: 965, Valor de Saída: 1086
Tempo: 975, Valor de Saída: 4238
Tempo: 985, Valor de Saída: 9028
Tempo: 995, Valor de Saída: 19002
Tempo: 1005, Valor de Saída: 17462
Tempo: 1015, Valor de Saída: 63555
Tempo: 1025, Valor de Saída: 61080
Tempo: 1035, Valor de Saída: 40112
Tempo: 1045, Valor de Saída: 15855
Tempo: 1055, Valor de Saída: 2091
Tempo: 1065, Valor de Saída: 23713
Tempo: 1075, Valor de Saída: 56155
Tempo: 1085, Valor de Saída: 525
Tempo: 1095, Valor de Saída: 3082
Tempo: 1105, Valor de Saída: 63815
Tempo: 1115, Valor de Saída: 22422
Tempo: 1125, Valor de Saída: 39688
Tempo: 1135, Valor de Saída: 53674
Tempo: 1145, Valor de Saída: 21834
Tempo: 1155, Valor de Saída: 24623
Tempo: 1165, Valor de Saída: 8758
Tempo: 1175, Valor de Saída: 12395
Tempo: 1185, Valor de Saída: 1784
Tempo: 1195, Valor de Saída: 17892
Tempo: 1205, Valor de Saída: 40581
Tempo: 1215, Valor de Saída: 62541
Tempo: 1225, Valor de Saída: 39013
Tempo: 1235, Valor de Saída: 23788
Tempo: 1245, Valor de Saída: 11010
Tempo: 1255, Valor de Saída: 60980
Tempo: 1265, Valor de Saída: 39510
Tempo: 1275, Valor de Saída: 60490
Tempo: 1285, Valor de Saída: 51029
Tempo: 1295, Valor de Saída: 59617
Tempo: 1305, Valor de Saída: 39635
Tempo: 1315, Valor de Saída: 18290
Tempo: 1325, Valor de Saída: 36945
Tempo: 1335, Valor de Saída: 47724
Tempo: 1345, Valor de Saída: 12471
Tempo: 1355, Valor de Saída: 50409
Tempo: 1365, Valor de Saída: 38067
Tempo: 1375, Valor de Saída: 13759
Tempo: 1385, Valor de Saída: 59183
Tempo: 1395, Valor de Saída: 44161
Tempo: 1405, Valor de Saída: 57398
Tempo: 1415, Valor de Saída: 8112
Tempo: 1425, Valor de Saída: 19556
Tempo: 1435, Valor de Saída: 20430
Tempo: 1445, Valor de Saída: 33045
Tempo: 1455, Valor de Saída: 19829
Tempo: 1465, Valor de Saída: 61023
Tempo: 1475, Valor de Saída: 65393
Tempo: 1485, Valor de Saída: 36895
Tempo: 1495, Valor de Saída: 38397
Tempo: 1505, Valor de Saída: 26968
Tempo: 1515, Valor de Saída: 3555
Tempo: 1525, Valor de Saída: 4996
Tempo: 1535, Valor de Saída: 48587
Tempo: 1545, Valor de Saída: 16005
Tempo: 1555, Valor de Saída: 51802
Tempo: 1565, Valor de Saída: 9838
Tempo: 1575, Valor de Saída: 40713
Tempo: 1585, Valor de Saída: 2694
Tempo: 1595, Valor de Saída: 32867
Tempo: 1605, Valor de Saída: 52107
Tempo: 1615, Valor de Saída: 859
Tempo: 1625, Valor de Saída: 21653
Tempo: 1635, Valor de Saída: 35030
Tempo: 1645, Valor de Saída: 7850
Tempo: 1655, Valor de Saída: 48920
Tempo: 1665, Valor de Saída: 45468
Tempo: 1675, Valor de Saída: 10445
Tempo: 1685, Valor de Saída: 9617
Tempo: 1695, Valor de Saída: 39844
Tempo: 1705, Valor de Saída: 43594
Tempo: 1715, Valor de Saída: 46378
Tempo: 1725, Valor de Saída: 63001
Tempo: 1735, Valor de Saída: 27727
Tempo: 1745, Valor de Saída: 55114
Tempo: 1755, Valor de Saída: 33630
Tempo: 1765, Valor de Saída: 42440
Tempo: 1775, Valor de Saída: 1957
Tempo: 1785, Valor de Saída: 50873
Tempo: 1795, Valor de Saída: 56835
Tempo: 1805, Valor de Saída: 15085
Tempo: 1815, Valor de Saída: 13958
Tempo: 1825, Valor de Saída: 2563
Tempo: 1835, Valor de Saída: 5627
Tempo: 1845, Valor de Saída: 52101
Tempo: 1855, Valor de Saída: 52455
Tempo: 1865, Valor de Saída: 10567
Tempo: 1875, Valor de Saída: 30370
Tempo: 1885, Valor de Saída: 24031
Tempo: 1895, Valor de Saída: 36768
Tempo: 1905, Valor de Saída: 47942
Tempo: 1915, Valor de Saída: 22963
Tempo: 1925, Valor de Saída: 4914
Tempo: 1935, Valor de Saída: 24345
Tempo: 1945, Valor de Saída: 19765
Tempo: 1955, Valor de Saída: 1429
Tempo: 1965, Valor de Saída: 59991
Tempo: 1975, Valor de Saída: 600
Tempo: 1985, Valor de Saída: 29527
Tempo: 1995, Valor de Saída: 53920
Tempo: 2005, Valor de Saída: 65185
Tempo: 2015, Valor de Saída: 18461
Tempo: 2025, Valor de Saída: 46499
Tempo: 2035, Valor de Saída: 2027
Tempo: 2045, Valor de Saída: 21779
Tempo: 2055, Valor de Saída: 415
Tempo: 2065, Valor de Saída: 43406
Tempo: 2075, Valor de Saída: 64108
Tempo: 2085, Valor de Saída: 2560
Tempo: 2095, Valor de Saída: 675
Tempo: 2105, Valor de Saída: 57876
Tempo: 2115, Valor de Saída: 64740
Tempo: 2125, Valor de Saída: 10567
Tempo: 2135, Valor de Saída: 6761
Tempo: 2145, Valor de Saída: 59163
Tempo: 2155, Valor de Saída: 22850
Tempo: 2165, Valor de Saída: 47924
Tempo: 2175, Valor de Saída: 4407
Tempo: 2185, Valor de Saída: 20332
Tempo: 2195, Valor de Saída: 26153
Tempo: 2205, Valor de Saída: 56384
Tempo: 2215, Valor de Saída: 50176
Tempo: 2225, Valor de Saída: 43582
Tempo: 2235, Valor de Saída: 27956
Tempo: 2245, Valor de Saída: 38333
Tempo: 2255, Valor de Saída: 63961
Tempo: 2265, Valor de Saída: 34688
Tempo: 2275, Valor de Saída: 50815
Tempo: 2285, Valor de Saída: 63373
Tempo: 2295, Valor de Saída: 33500
Tempo: 2305, Valor de Saída: 29207
Tempo: 2315, Valor de Saída: 47171
Tempo: 2325, Valor de Saída: 4894
Tempo: 2335, Valor de Saída: 13328
Tempo: 2345, Valor de Saída: 65295
Tempo: 2355, Valor de Saída: 38651
Tempo: 2365, Valor de Saída: 62370
Tempo: 2375, Valor de Saída: 54779
Tempo: 2385, Valor de Saída: 48365
Tempo: 2395, Valor de Saída: 45769
Tempo: 2405, Valor de Saída: 44995
Tempo: 2415, Valor de Saída: 16254
Tempo: 2425, Valor de Saída: 14923
Tempo: 2435, Valor de Saída: 23731
Tempo: 2445, Valor de Saída: 22257
Tempo: 2455, Valor de Saída: 15524
Tempo: 2465, Valor de Saída: 2779
Tempo: 2475, Valor de Saída: 57957
Tempo: 2485, Valor de Saída: 62039
Tempo: 2495, Valor de Saída: 41199
Tempo: 2505, Valor de Saída: 48091
Tempo: 2515, Valor de Saída: 38648
Tempo: 2525, Valor de Saída: 39842
Tempo: 2535, Valor de Saída: 14035
Tempo: 2545, Valor de Saída: 56117
Tempo: 2555, Valor de Saída: 50051
Tempo: 2565, Valor de Saída: 22462
Tempo: 2575, Valor de Saída: 53753
Tempo: 2585, Valor de Saída: 64611
